,target,model,test_r2,test_mae,test_ece
0,IoU,Constant Mean Predictor,-0.0004,0.1227,0.031551094020583814
1,IoU,Univariate Linear Regression (Confidence),0.3493,0.0996,0.013744804316246842
2,IoU,Linear Regression,0.3679,0.0984,0.015391431868386651
3,IoU,Decision Tree,0.3425,0.0997,0.012526721930462156
4,IoU,Random Forest,0.3772,0.0969,0.006781018511238544
5,IoU,MLP,0.3279,0.1023,0.017785539048655347
6,IoU,XGBoost,0.3618,0.0997,0.007396555600321538
7,IoU,Autogluon_Tab,0.3862,0.097,0.009834677425013687
8,LRP,Constant Mean Predictor,-0.0002,0.1054,0.03130990266799921
9,LRP,Univariate Linear Regression (Confidence),0.3946,0.0822,0.01000964078729288
10,LRP,Linear Regression,0.4208,0.0802,0.007703348767182666
11,LRP,Decision Tree,0.4108,0.0785,0.015306365384240744
12,LRP,Random Forest,0.4329,0.0772,0.010422035711513842
13,LRP,MLP,0.4052,0.0805,0.013816063430289646
14,LRP,XGBoost,0.413,0.0794,0.007687669145206272
15,LRP,Autogluon_Tab,0.4322,0.0774,0.013138559418203478
